timestamp,open,high,low,close,volume,spread
2024-11-24,2714.138,2721.425,2691.301,2719.92,5.7496,0.513
2024-11-25,2719.875,2720.2,2605.348,2610.635,178.9428,0.412
2024-11-26,2610.64,2641.975,2608.742,2632.315,160.7478,0.41
2024-11-27,2632.35,2658.312,2627.145,2637.156,151.3081,0.419
2024-11-28,2637.176,2649.72,2620.996,2638.835,85.8997,0.404
2024-11-29,2638.82,2666.4,2634.124,2650.184,109.6761,0.408
2024-12-01,2653.988,2654.008,2643.16,2645.805,3.189,0.488
2024-12-02,2645.891,2651.832,2622.052,2642.305,152.5052,0.399
2024-12-03,2642.34,2655.666,2634.158,2642.8,162.0257,0.403
2024-12-04,2642.805,2657.167,2632.47,2650.422,155.4426,0.399
2024-12-05,2650.446,2655.638,2623.59,2633.85,135.3972,0.393
2024-12-06,2633.855,2645.758,2613.116,2633.395,136.6036,0.412
2024-12-08,2647.062,2648.41,2636.366,2640.12,4.3673,0.416
2024-12-09,2640.115,2676.47,2627.615,2660.615,151.6884,0.38
2024-12-10,2660.605,2698.47,2658.035,2696.092,133.3031,0.416
2024-12-11,2696.1,2721.29,2675.346,2720.16,211.7313,0.758
2024-12-12,2719.36,2725.93,2675.203,2680.754,188.5955,0.632
2024-12-13,2680.784,2692.875,2646.208,2648.355,158.8872,0.519
2024-12-15,2650.0,2653.123,2648.756,2651.574,1.9417,0.538
2024-12-16,2651.544,2664.476,2643.588,2651.8,127.009,0.483
2024-12-17,2651.804,2658.705,2633.098,2647.492,148.1769,0.462
2024-12-18,2647.475,2651.8,2582.884,2588.272,195.4429,0.459
2024-12-19,2588.276,2626.545,2587.01,2593.605,176.1911,0.47
2024-12-20,2593.595,2631.886,2589.69,2623.36,152.0493,0.475
2024-12-22,2624.075,2624.885,2621.638,2624.432,1.5985,0.564
2024-12-23,2624.495,2633.35,2608.25,2615.616,131.3809,0.486
2024-12-24,2615.647,2621.49,2610.118,2616.775,78.8054,0.499
2024-12-25,2619.825,2620.208,2615.096,2618.635,1.1952,0.983
2024-12-26,2618.645,2639.19,2618.57,2632.656,99.4846,0.531
2024-12-27,2632.616,2638.405,2611.692,2621.502,98.7053,0.492
